@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
116,'2022/11/07 16:44:40:961',3,0,0,0,0,0,0,0,?
117,'2022/11/07 16:44:41:008',3,0,0,0,0,0,0,0,?
118,'2022/11/07 16:44:41:053',3,0,0,0,0,0,0,0,?
119,'2022/11/07 16:44:41:100',3,0,0,0,0,0,0,0,?
120,'2022/11/07 16:44:41:147',3,0,0,0,0,0,0,0,?
121,'2022/11/07 16:44:41:195',3,0,0,0,0,0,0,0,?
122,'2022/11/07 16:44:41:242',3,0,0,0,0,0,0,0,?
123,'2022/11/07 16:44:41:288',3,0,0,0,0,0,0,0,?
124,'2022/11/07 16:44:41:334',3,0,0,0,0,0,0,0,?
125,'2022/11/07 16:44:41:381',3,0,0,0,0,0,0,0,?
126,'2022/11/07 16:44:41:428',3,0,0,0,0,0,0,0,?
127,'2022/11/07 16:44:41:476',3,0,0,0,0,0,0,0,?
128,'2022/11/07 16:44:41:521',3,0,0,0,0,0,0,0,?
129,'2022/11/07 16:44:41:568',3,0,0,0,0,0,0,0,?
130,'2022/11/07 16:44:41:615',3,0,0,0,0,0,0,0,?
131,'2022/11/07 16:44:41:661',3,0,0,0,0,0,0,0,?
132,'2022/11/07 16:44:41:709',3,0,0,0,0,0,0,0,?
133,'2022/11/07 16:44:41:755',3,0,0,0,0,0,0,0,?
134,'2022/11/07 16:44:41:803',3,0,0,0,0,0,0,0,?
135,'2022/11/07 16:44:41:849',3,0,0,0,0,0,0,0,?
136,'2022/11/07 16:44:41:895',3,0,0,0,0,0,0,0,?
137,'2022/11/07 16:44:41:942',3,0,0,0,0,0,0,0,?
138,'2022/11/07 16:44:41:989',3,0,0,0,0,0,0,0,?
139,'2022/11/07 16:44:42:036',3,0,0,0,0,0,0,0,?
