@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 {0,1,2}

@data
54,'2022/11/20 22:45:11:789',1,0.042577,0.027958,-0.006389,1.37488,0.949383,1.417474,?,?
55,'2022/11/20 22:45:11:822',1,0.024286,0.024935,-0.028841,1.394145,0.788558,1.576897,?,?
56,'2022/11/20 22:45:11:855',1,-0.084753,-0.004334,0.002662,1.409371,0.624462,1.738836,?,?
57,'2022/11/20 22:45:11:889',1,-0.055679,-0.017601,-0.018224,1.415026,0.528982,1.832055,?,?
58,'2022/11/20 22:45:11:922',1,0.004482,-0.010243,-0.028664,1.421576,0.432112,1.926281,?,?
59,'2022/11/20 22:45:11:956',1,-0.034222,-0.012975,-0.013659,1.427858,0.338234,2.018672,?,?
60,'2022/11/20 22:45:11:989',1,-0.063207,-0.019856,-0.005408,1.431337,0.279856,2.075809,?,?
61,'2022/11/20 22:45:12:023',1,-0.012541,-0.018274,-0.002549,1.433848,0.243589,2.112327,?,?
62,'2022/11/20 22:45:12:055',1,-0.005492,-0.012937,0.00119,1.435964,0.209478,2.146384,?,?
63,'2022/11/20 22:45:12:089',1,-0.015248,-0.009817,0.004902,1.437498,0.188168,2.167421,?,?
64,'2022/11/20 22:45:12:122',1,0.039071,0.013235,0.009505,1.440367,0.16279,2.191157,?,?
65,'2022/11/20 22:45:12:155',1,0.039052,0.019473,0.023205,1.443912,0.103606,2.246164,?,?
66,'2022/11/20 22:45:12:189',1,0.008207,0.006887,0.029892,1.443936,0.033308,2.314709,?,?
67,'2022/11/20 22:45:12:223',1,-0.02736,-0.011004,0.014085,1.440424,-0.033448,2.380697,?,?
68,'2022/11/20 22:45:12:257',1,-0.014053,-0.010327,0.004993,1.435627,-0.06947,2.417073,?,?
69,'2022/11/20 22:45:12:289',1,-0.005728,-0.008126,-0.006983,1.431086,-0.093666,2.441717,?,?
70,'2022/11/20 22:45:12:322',1,-0.014161,-0.004215,-0.003819,1.425957,-0.11761,2.467676,?,?
71,'2022/11/20 22:45:21:689',2,0.003056,0.001199,0.012559,0.402447,-1.236318,-2.542019,0,?
72,'2022/11/20 22:45:21:722',2,0.004168,0.011201,0.001544,0.402771,-1.23474,-2.543437,0,?
73,'2022/11/20 22:45:21:755',2,0.010208,0.009298,0.006405,0.403638,-1.233529,-2.543949,0,?
74,'2022/11/20 22:45:21:788',2,0.018541,0.006817,0.01457,0.403861,-1.234108,-2.544129,0,?
75,'2022/11/20 22:45:21:822',2,0.011722,-0.000113,0.011791,0.403277,-1.23295,-2.544998,0,?
76,'2022/11/20 22:45:21:855',2,0.006223,-0.003175,0.011599,0.402917,-1.232346,-2.546024,0,?
77,'2022/11/20 22:45:21:889',2,0.003762,-0.001663,0.005844,0.402555,-1.231295,-2.54728,0,?
78,'2022/11/20 22:45:21:921',2,-0.004907,0.002583,-0.002895,0.402127,-1.22993,-2.548701,0,?
79,'2022/11/20 22:45:21:955',2,-0.000158,0.005087,-0.007465,0.402395,-1.229617,-2.548618,0,?
80,'2022/11/20 22:45:21:988',2,0.002673,-0.000103,0.014445,0.403139,-1.230439,-2.547715,0,?
81,'2022/11/20 22:45:22:021',2,0.014873,-0.00182,0.016567,0.403494,-1.230049,-2.548434,0,?
82,'2022/11/20 22:45:22:055',2,0.012137,-0.007948,0.000654,0.403319,-1.229475,-2.549669,0,?
83,'2022/11/20 22:45:22:088',2,0.005611,0.00184,0.00014,0.403476,-1.229234,-2.550517,0,?
84,'2022/11/20 22:45:22:122',2,0.010141,0.006106,-0.008159,0.403668,-1.228322,-2.551249,0,?
85,'2022/11/20 22:45:22:155',2,0.012474,0.006972,-0.000503,0.404128,-1.229015,-2.55053,0,?
86,'2022/11/20 22:45:22:188',2,0.015642,0.007577,0.008006,0.404039,-1.229088,-2.549823,0,?
87,'2022/11/20 22:45:22:222',2,0.010177,0.001457,0.007966,0.403541,-1.229473,-2.549275,0,?
88,'2022/11/20 22:45:22:297',2,0.001736,-0.001179,0.005188,0.402766,-1.229821,-2.548941,0,?
89,'2022/11/20 22:45:22:297',2,-0.002786,0.00165,0.007397,0.402441,-1.229929,-2.548678,0,?
90,'2022/11/20 22:45:22:322',2,0.005575,0.001532,0.007839,0.402411,-1.230319,-2.548232,0,?
91,'2022/11/20 22:45:22:355',2,0.006837,-0.000333,0.012753,0.402374,-1.230904,-2.547807,0,?
92,'2022/11/20 22:45:22:392',2,0.007123,0.001709,0.01445,0.40194,-1.231264,-2.548182,0,?
93,'2022/11/20 22:45:22:422',2,0.002848,0.001459,0.006137,0.401387,-1.23094,-2.548874,0,?
94,'2022/11/20 22:45:22:455',2,0.001444,0.00277,0.003212,0.400988,-1.231258,-2.549169,0,?
95,'2022/11/20 22:45:22:489',2,0.003412,0.000186,0.000803,0.400684,-1.231688,-2.549147,0,?
96,'2022/11/20 22:45:22:521',2,0.006187,-0.000525,0.000915,0.400657,-1.232195,-2.548949,0,?
97,'2022/11/20 22:45:22:555',2,0.004014,0.002461,0.005275,0.40057,-1.232371,-2.548475,0,?
98,'2022/11/20 22:45:22:591',2,0.01018,0.006158,0.009149,0.400823,-1.23288,-2.548149,0,?
99,'2022/11/20 22:45:22:622',2,0.017416,0.007047,0.007893,0.400711,-1.233307,-2.547879,0,?
100,'2022/11/20 22:45:22:655',2,-0.001431,-0.000669,0.008909,0.400137,-1.233206,-2.547821,0,?
101,'2022/11/20 22:45:22:689',2,0.011074,-0.000598,0.004538,0.399866,-1.232358,-2.548821,0,?
102,'2022/11/20 22:45:22:722',2,-0.001471,0.008071,-0.012217,0.399487,-1.232345,-2.549104,0,?
103,'2022/11/20 22:45:22:755',2,-0.003682,0.00022,0.0044,0.399595,-1.232926,-2.547914,0,?
104,'2022/11/20 22:45:22:788',2,0.006565,0.001515,0.013762,0.400288,-1.233989,-2.54719,0,?
105,'2022/11/20 22:45:22:821',2,0.009339,-0.002106,0.019177,0.400349,-1.234106,-2.547278,0,?
106,'2022/11/20 22:45:22:855',2,0.003643,0.000706,0.011854,0.400354,-1.234244,-2.547985,0,?
107,'2022/11/20 22:45:22:888',2,-0.000268,-0.000835,0.002428,0.400188,-1.234229,-2.54885,0,?
108,'2022/11/20 22:45:22:922',2,0.008288,0.002889,0.003652,0.400371,-1.234338,-2.549388,0,?
109,'2022/11/20 22:45:22:955',2,0.008154,0.00404,-0.003911,0.400478,-1.234931,-2.549557,0,?
110,'2022/11/20 22:45:22:989',2,0.0145,0.002185,0.001867,0.400551,-1.235821,-2.549205,0,?
111,'2022/11/20 22:45:23:022',2,0.006821,0.007087,-0.00054,0.40044,-1.236833,-2.548948,0,?
112,'2022/11/20 22:45:23:055',2,0.010693,0.010034,0.000711,0.39963,-1.237198,-2.548373,0,?
113,'2022/11/20 22:45:23:089',2,0.006839,0.003052,0.013408,0.399554,-1.237277,-2.547523,0,?
114,'2022/11/20 22:45:23:122',2,0.008813,0.002037,0.012273,0.399181,-1.237198,-2.547547,0,?
115,'2022/11/20 22:45:23:155',2,-0.000938,-0.004918,0.005754,0.398522,-1.236597,-2.547714,0,?
116,'2022/11/20 22:45:23:189',2,0.002173,-0.002435,0.010794,0.398501,-1.23712,-2.547844,0,?
117,'2022/11/20 22:45:23:221',2,-0.000841,0.000135,0.002043,0.39826,-1.236902,-2.54839,0,?
118,'2022/11/20 22:45:23:255',2,0.007124,-0.004001,0.004947,0.39869,-1.237271,-2.548209,0,?
119,'2022/11/20 22:45:23:288',2,0.015554,0.000722,0.009965,0.399046,-1.237678,-2.548555,0,?
120,'2022/11/20 22:45:23:322',2,0.013433,0.002718,0.001527,0.398811,-1.237694,-2.549196,0,?
121,'2022/11/20 22:45:23:355',2,0.006015,0.005653,-0.008563,0.398585,-1.237819,-2.549288,0,?
122,'2022/11/20 22:45:23:388',2,0.018537,0.006267,0.009136,0.398688,-1.238331,-2.548582,0,?
123,'2022/11/20 22:45:23:422',2,0.016473,0.003027,-0.001564,0.398087,-1.239158,-2.548221,0,?
124,'2022/11/20 22:45:23:455',2,0.000524,0.005922,-0.00305,0.396924,-1.239,-2.547003,0,?
125,'2022/11/20 22:45:23:488',2,0.000871,-0.000284,0.008899,0.396879,-1.24051,-2.545181,0,?
126,'2022/11/20 22:45:23:522',2,0.009959,-0.001515,0.01369,0.396156,-1.241086,-2.544465,0,?
