@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute realinputs-1 numeric
@attribute realinputs-2 numeric
@attribute realinputs-3 numeric
@attribute realinputs-4 numeric
@attribute realinputs-5 numeric
@attribute realinputs-6 numeric
@attribute realinputs-7 numeric
@attribute realinputs-8 numeric
@attribute realinputs-9 numeric
@attribute hori_android1 numeric
@attribute verti_android1 numeric
@attribute roll_android1 {0,1,2,3}
@attribute hori_ios1 numeric
@attribute verti_ios1 numeric
@attribute roll_ios1 {0,1,2,3}
@attribute hori_ios2 numeric
@attribute verti_ios2 numeric
@attribute roll_ios2 {0,1,2,3}

@data
43,'2022/11/28 09:44:39:515',5,349.870697,3.500285,-0.370644,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
44,'2022/11/28 09:44:39:530',5,349.870697,3.500285,-0.370644,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
45,'2022/11/28 09:44:39:545',5,349.887909,3.514117,-0.359788,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
46,'2022/11/28 09:44:39:562',5,349.921661,3.528498,-0.350788,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
47,'2022/11/28 09:44:39:579',5,349.948669,3.540004,-0.343588,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
48,'2022/11/28 09:44:39:595',5,349.975739,3.548639,-0.346218,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
49,'2022/11/28 09:44:39:613',5,349.975739,3.548639,-0.346218,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
50,'2022/11/28 09:44:44:329',6,13.77456,0.987427,29.269295,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
51,'2022/11/28 09:44:44:349',6,13.73029,0.987323,29.275393,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
52,'2022/11/28 09:44:44:365',6,13.698659,0.979776,29.279343,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
53,'2022/11/28 09:44:44:382',6,13.673354,0.973738,29.282501,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
54,'2022/11/28 09:44:44:398',6,13.696947,0.957348,29.278893,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
